dataset,method,vehicle_id,seg_index,rmse_full_pct,mae_full_pct,maxerr_full_pct,rmse_postconv_pct,mae_postconv_pct,maxerr_postconv_pct,t_conv_strict_s,t_conv_hold_s,t_conv_legacy_s,duration_s,n_samples
BMW_i3,ekf,bmw_i3,52,19.810101224383146,19.809951343496166,19.99819444444445,,,,,,,1203.9,12040.0
BMW_i3,coulomb,bmw_i3,52,33.22566507753616,32.24619849371695,50.02031620370375,,,,,,,1203.9,12040.0
BMW_i3,ocv_lookup,bmw_i3,52,28.65927410355777,28.38604651162791,34.4,,,,,,,1203.9,12040.0
BMW_i3,ekf,bmw_i3,53,19.79589778818238,19.795642755594237,20.04577037037039,,,,,,,968.4,9685.0
BMW_i3,coulomb,bmw_i3,53,42.57345834908196,40.98456933741566,52.71067175925924,,,,,,,968.4,9685.0
BMW_i3,ocv_lookup,bmw_i3,53,21.905369820659633,21.15654620547238,31.5,,,,,,,968.4,9685.0
BMW_i3,ekf,bmw_i3,54,13.624505046855237,13.623783886729157,13.891443518518521,,,,,,,920.6,9207.0
BMW_i3,coulomb,bmw_i3,54,23.83082794225429,23.274879667342482,29.599999999999994,,,,,,,920.6,9207.0
BMW_i3,ocv_lookup,bmw_i3,54,57.741421973429865,47.11433455297624,83.4,4.128905928644428,4.106507473908305,4.9512143877356145,917.0,917.0,616.3,920.6,9207.0
BMW_i3,ekf,bmw_i3,55,20.16389685681028,20.134946121814572,23.608840534159626,,,,,,,1096.7,10968.0
BMW_i3,coulomb,bmw_i3,55,35.73129003923437,34.93278435638524,42.2,,,,,,,1096.7,10968.0
BMW_i3,ocv_lookup,bmw_i3,55,59.132312796521646,56.23419558561864,71.9,,,,,,0.0,1096.7,10968.0
BMW_i3,ekf,bmw_i3,56,18.16152416557163,15.190042163838068,31.975163341590118,,,,,,,795.5,7956.0
BMW_i3,coulomb,bmw_i3,56,38.732028642325396,37.262049248354366,49.41446250000002,,,,,,,795.5,7956.0
BMW_i3,ocv_lookup,bmw_i3,56,44.318362592515335,43.973257250127794,52.6,,,,,,,795.5,7956.0
BMW_i3,ekf,bmw_i3,57,19.873021806246495,19.872942168264736,20.018676851851826,,,,,,,547.9,5480.0
BMW_i3,coulomb,bmw_i3,57,25.93714662659466,25.813190652710187,28.400000000000002,,,,,,,547.9,5480.0
BMW_i3,ocv_lookup,bmw_i3,57,30.54867031377656,18.895015696304576,76.9,4.836692645331664,4.835152931624139,4.995820383895566,539.7,539.7,144.6,547.9,5480.0
BMW_i3,ekf,bmw_i3,58,19.95094448520042,19.95091375020543,20.035309259259304,,,,,,,293.0,2931.0
BMW_i3,coulomb,bmw_i3,58,22.507598052532753,22.459231867520888,25.31841064814816,,,,,,,293.0,2931.0
BMW_i3,ocv_lookup,bmw_i3,58,22.51824961636262,9.78959309398841,73.4,2.017321939949169,1.6280233105340898,4.869332002176552,287.8,287.8,0.4,293.0,2931.0
BMW_i3,ekf,bmw_i3,59,12.376330676467372,12.376039617699165,12.609221759259237,,,,,,,1362.4,13625.0
BMW_i3,coulomb,bmw_i3,59,24.09714459936415,23.59267311083928,28.500000000000004,,,,,,,1362.4,13625.0
BMW_i3,ocv_lookup,bmw_i3,59,35.50704265854049,20.470734807354535,85.1,2.095201253641703,2.0407449944128535,4.85476354098584,1287.4,1287.4,565.9,1362.4,13625.0
BMW_i3,ekf,bmw_i3,60,14.707938129725202,12.943969060780534,31.385526770443086,,,,,,1420.3,2852.0,28521.0
BMW_i3,coulomb,bmw_i3,60,42.24247158762579,40.83342134496089,55.60000000000001,,,,,,,2852.0,28521.0
BMW_i3,ocv_lookup,bmw_i3,60,52.87837733392797,49.32867725013013,71.1,,,,,,0.0,2852.0,28521.0
BMW_i3,ekf,bmw_i3,61,13.974836909647987,13.974528259213164,14.212713425925983,,,,,,,1417.1,14172.0
