# generated 20260719T195455Z by data/make_before_after.py; before = results/pre_sign_fix_snapshot (pre-fix), after = regenerated post-fix; TOL=0.005
table,dataset,method,key,metric,before,after,delta,was_inverted_before,changed
baseline_comparison.csv,Deng_BAIC_EU500,coulomb,Deng_BAIC_EU500|coulomb,rmse_median,43.4243048071293,14.827529275986073,-28.59677553114323,True,True
baseline_comparison.csv,Deng_BAIC_EU500,coulomb,Deng_BAIC_EU500|coulomb,rmse_mean,40.123308348851644,14.83164190691044,-25.291666441941203,True,True
baseline_comparison.csv,Deng_BAIC_EU500,coulomb,Deng_BAIC_EU500|coulomb,conv_rate_strict,0.035,0.6195,0.5845,True,True
baseline_comparison.csv,Deng_BAIC_EU500,coulomb,Deng_BAIC_EU500|coulomb,rate_recovered,0.0315,0.1815,0.15,True,True
baseline_comparison.csv,Deng_BAIC_EU500,coulomb,Deng_BAIC_EU500|coulomb,rate_diverged,0.9335,0.199,-0.7344999999999999,True,True
baseline_comparison.csv,Deng_BAIC_EU500,my_ekf,Deng_BAIC_EU500|my_ekf,rmse_median,9.283379517088294,9.283379517088294,0.0,False,False
baseline_comparison.csv,Deng_BAIC_EU500,my_ekf,Deng_BAIC_EU500|my_ekf,rmse_mean,9.69217307590877,9.69217307590877,0.0,False,False
baseline_comparison.csv,Deng_BAIC_EU500,my_ekf,Deng_BAIC_EU500|my_ekf,conv_rate_strict,0.839,0.839,0.0,False,False
baseline_comparison.csv,Deng_BAIC_EU500,my_ekf,Deng_BAIC_EU500|my_ekf,rate_recovered,0.1225,0.1225,0.0,False,False
baseline_comparison.csv,Deng_BAIC_EU500,my_ekf,Deng_BAIC_EU500|my_ekf,rate_diverged,0.0385,0.0385,0.0,False,False
baseline_comparison.csv,Deng_BAIC_EU500,ocv_lookup,Deng_BAIC_EU500|ocv_lookup,rmse_median,6.347978911877719,6.347978911877719,0.0,False,False
baseline_comparison.csv,Deng_BAIC_EU500,ocv_lookup,Deng_BAIC_EU500|ocv_lookup,rmse_mean,6.051591944027226,6.051591944027226,0.0,False,False
baseline_comparison.csv,Deng_BAIC_EU500,ocv_lookup,Deng_BAIC_EU500|ocv_lookup,conv_rate_strict,0.7475,0.7475,0.0,False,False
baseline_comparison.csv,Deng_BAIC_EU500,ocv_lookup,Deng_BAIC_EU500|ocv_lookup,rate_recovered,0.1675,0.1675,0.0,False,False
baseline_comparison.csv,Deng_BAIC_EU500,ocv_lookup,Deng_BAIC_EU500|ocv_lookup,rate_diverged,0.085,0.085,0.0,False,False
baseline_comparison.csv,Deng_BAIC_EU500,rbc_coupled,Deng_BAIC_EU500|rbc_coupled,rmse_median,16.026673051494292,16.026673051494292,0.0,False,False
baseline_comparison.csv,Deng_BAIC_EU500,rbc_coupled,Deng_BAIC_EU500|rbc_coupled,rmse_mean,18.70032819741382,18.70032819741382,0.0,False,False
baseline_comparison.csv,Deng_BAIC_EU500,rbc_coupled,Deng_BAIC_EU500|rbc_coupled,conv_rate_strict,0.3245,0.3245,0.0,False,False
baseline_comparison.csv,Deng_BAIC_EU500,rbc_coupled,Deng_BAIC_EU500|rbc_coupled,rate_recovered,0.232,0.232,0.0,False,False
baseline_comparison.csv,Deng_BAIC_EU500,rbc_coupled,Deng_BAIC_EU500|rbc_coupled,rate_diverged,0.4435,0.4435,0.0,False,False
baseline_comparison.csv,Deng_BAIC_EU500,rbc_dekf,Deng_BAIC_EU500|rbc_dekf,rmse_median,7.663277840966977,7.663277840966977,0.0,False,False
baseline_comparison.csv,Deng_BAIC_EU500,rbc_dekf,Deng_BAIC_EU500|rbc_dekf,rmse_mean,9.886086336378153,9.886086336378153,0.0,False,False
baseline_comparison.csv,Deng_BAIC_EU500,rbc_dekf,Deng_BAIC_EU500|rbc_dekf,conv_rate_strict,0.806,0.806,0.0,False,False
baseline_comparison.csv,Deng_BAIC_EU500,rbc_dekf,Deng_BAIC_EU500|rbc_dekf,rate_recovered,0.163,0.163,0.0,False,False
baseline_comparison.csv,Deng_BAIC_EU500,rbc_dekf,Deng_BAIC_EU500|rbc_dekf,rate_diverged,0.031,0.031,0.0,False,False
baseline_comparison.csv,Parallel_Module,coulomb,Parallel_Module|coulomb,rmse_median,17.751808444485857,17.751808444485857,0.0,False,False
baseline_comparison.csv,Parallel_Module,coulomb,Parallel_Module|coulomb,rmse_mean,15.32768827243734,15.32768827243734,0.0,False,False
baseline_comparison.csv,Parallel_Module,coulomb,Parallel_Module|coulomb,conv_rate_strict,0.18981481481481483,0.18981481481481483,0.0,False,False
baseline_comparison.csv,Parallel_Module,coulomb,Parallel_Module|coulomb,rate_recovered,0.05555555555555555,0.05555555555555555,0.0,False,False
baseline_comparison.csv,Parallel_Module,coulomb,Parallel_Module|coulomb,rate_diverged,0.7546296296296297,0.7546296296296297,0.0,False,False
baseline_comparison.csv,Parallel_Module,my_ekf,Parallel_Module|my_ekf,rmse_median,15.566347634336054,16.893490459749884,1.32714282541383,True,True
